alert_id,attack_class,is_attempted,id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
AL-00001,Benign,0,699017,172.31.64.79-23.196.113.171-50715-443-6,172.31.64.79,50715,23.196.113.171,443,6,2018-02-15 14:00:58.074248,119060961,89,195,7168,246113,1398,0,80.53932584269661,307.3514074157615,1460,0,1262.1179487179484,485.9832645668668,2127.321985919465,2.3853326700428696,420710.1095406361,1956358.0746751423,10006536,0,119060961,1352965.4659090908,3356467.3870274387,10062167,14,119005289,613429.324742268,2355075.791630132,10065382,0,8,8,0,0,1,1,1792,4044,0.7475162240627303,1.6378164459801394,0,1460,891.8345070422539,701.9608659469255,492749.0573209576,1,2,2,16,283,0,1,1,2.191011235955056,891.8345070422536,80.53932584269663,1262.1179487179488,0,0,0,242563,169,1221180,0,25,0,866,8192,1375,19,20,321205.75000000006,919842.8213081867,3242099,55607,9595842.333333334,1410497.7573726063,10006536,5117045,-1,-1,119060961,BENIGN,-1
AL-00002,Benign,0,4934225,172.31.65.67-172.31.0.2-61355-53-17,172.31.65.67,61355,172.31.0.2,53,17,2018-02-14 16:21:49.364081,75727,2,2,80,204,40,40,40.0,0.0,102,102,102.0,0.0,3750.313626579688,52.82131868422095,25242.333333333336,25436.70046081711,50870,1,24856,24856.0,0.0,24856,24856,1,1.0,0.0,1,1,0,0,0,0,0,0,16,16,26.410659342110478,26.410659342110478,40,102,71.0,35.795716689756794,1281.3333333333333,0,0,0,0,0,0,0,0,1.0,71.0,40.0,102.0,0,0,0,0,0,0,0,20,0,51,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00003,Benign,0,4230459,5.101.40.43-172.31.65.117-50398-3389-6,5.101.40.43,50398,172.31.65.117,3389,6,2018-02-16 19:33:44.167445,1728019,8,7,1032,1429,565,0,129.0,190.9195791800456,1149,0,204.1428571428571,420.4990798925441,1424.1741554925034,8.680460110681654,123429.92857142857,245529.9134971492,953147,3,1728019,246859.8571428572,389003.2555778201,1123059,3,1610311,268385.1666666666,336336.2840089762,953147,118109,5,5,0,0,1,0,172,152,4.629578725696882,4.050881384984772,0,1149,164.06666666666666,309.04795436184025,95510.63809523809,0,2,1,10,14,0,1,1,0.875,164.06666666666666,129.0,204.14285714285717,0,0,0,0,0,0,0,68,0,95,8192,62968,5,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1728019,BENIGN,-1
AL-00004,DoS,0,5637115,18.219.193.20-172.31.69.25-47498-80-6,18.219.193.20,47498,172.31.69.25,80,6,2018-02-16 17:45:56.186464,107295,5,5,327,935,327,0,65.4,146.23884572848624,935,0,187.0,418.1447117924607,11761.964676825572,93.20098793047208,11921.666666666666,15376.230219075156,38083,8,107274,26818.5,14003.71592352068,38083,6483,107287,26821.75,19124.503956530043,44567,27,1,1,0,0,0,0,168,168,46.60049396523603,46.60049396523603,0,935,126.20000000000005,302.19375682940023,91321.06666666668,2,2,0,2,9,0,0,0,1.0,126.2,65.4,187.0,0,0,0,0,0,0,0,32,0,93,26883,237,1,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,107295,DoS Hulk,-1
AL-00005,Benign,0,924919,172.31.69.4-172.31.0.2-60827-53-17,172.31.69.4,60827,172.31.0.2,53,17,2018-02-16 20:11:57.821004,510,1,1,39,71,39,39,39.0,0.0,71,71,71.0,0.0,215686.27450980392,3921.56862745098,510.0,0.0,510,510,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,1960.7843137254904,1960.7843137254904,39,71,55.0,22.62741699796952,512.0,0,0,0,0,0,0,0,0,1.0,55.0,39.0,71.0,0,0,0,0,0,0,0,19,0,35,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00006,Benign,0,5533268,194.187.248.32-172.31.65.70-56124-3389-6,194.187.248.32,56124,172.31.65.70,3389,6,2018-03-02 21:04:12.137620,1631006,8,7,1144,1581,677,0,143.0,227.96992282817865,1173,0,225.8571428571429,430.0986044197418,1670.747992343376,9.19677793950482,116500.42857142858,249687.59066934773,967230,3,1631006,233000.85714285716,389427.8465631465,1111693,3,1531067,255177.8333333333,349224.7019696153,967230,101254,5,5,0,0,1,0,172,152,4.904948234402571,4.29182970510225,0,1173,181.66666666666669,327.2538697068306,107095.09523809524,0,2,1,10,14,0,1,2,0.875,181.66666666666663,143.0,225.8571428571429,0,0,0,0,0,0,0,76,0,105,8192,62856,5,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1631006,BENIGN,-1
AL-00007,Benign,0,1329738,172.31.64.108-172.31.0.2-51779-53-17,172.31.64.108,51779,172.31.0.2,53,17,2018-02-20 20:55:09.071110,1041,1,1,44,100,44,44,44.0,0.0,100,100,100.0,0.0,138328.530259366,1921.2295869356387,1041.0,0.0,1041,1041,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,960.6147934678194,960.6147934678194,44,100,72.0,39.59797974644666,1568.0,0,0,0,0,0,0,0,0,1.0,72.0,44.0,100.0,0,0,0,0,0,0,0,22,0,50,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00008,Benign,0,5958249,172.31.64.71-172.31.0.2-51216-53-17,172.31.64.71,51216,172.31.0.2,53,17,2018-03-02 16:46:39.948974,27714,2,2,98,328,49,49,49.0,0.0,164,164,164.0,0.0,15371.292487551418,144.33138485963772,9238.0,11686.466831339572,22376,1,22376,22376.0,0.0,22376,22376,1,1.0,0.0,1,1,0,0,0,0,0,0,16,16,72.16569242981886,72.16569242981886,49,164,106.5,66.39528095680696,4408.333333333333,0,0,0,0,0,0,0,0,1.0,106.5,49.0,164.0,0,0,0,0,0,0,0,24,0,82,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00009,Benign,0,3308837,172.31.66.97-172.31.0.2-50326-53-17,172.31.66.97,50326,172.31.0.2,53,17,2018-02-23 14:47:31.937470,309,1,1,37,53,37,37,37.0,0.0,53,53,53.0,0.0,291262.13592233014,6472.491909385114,309.0,0.0,309,309,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,3236.245954692557,3236.245954692557,37,53,45.0,11.31370849898476,128.0,0,0,0,0,0,0,0,0,1.0,45.0,37.0,53.0,0,0,0,0,0,0,0,18,0,26,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00010,DDoS,0,6082471,18.218.55.126-172.31.69.28-58705-80-6,18.218.55.126,58705,172.31.69.28,80,6,2018-02-21 18:19:46.787121,8809,5,5,326,935,326,0,65.2,145.79163213298628,935,0,187.0,418.1447117924607,143149.05210580086,1135.20263367011,978.7777777777778,2324.9133197701035,7141,2,8807,2201.75,3298.886415645942,7141,306,8801,2200.25,3545.960929940806,7472,27,1,1,0,0,0,0,112,112,567.6013168350551,567.6013168350551,0,935,126.10000000000002,302.1200828221197,91276.54444444444,2,2,0,2,9,0,1,1,1.0,126.1,65.2,187.0,0,0,0,0,0,0,0,32,0,93,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,8809,DDoS-HOIC,-1
